,anime_count,mean_reviews,median_reviews
Action,3572,,
Adventure,2753,,
Cars,117,,
Comedy,5640,,
Dementia,402,,
Demons,453,,
Drama,2457,16.895807895807895,
Ecchi,740,15.91891891891892,4.0
Fantasy,2971,,
Game,348,16.71264367816092,
Harem,374,25.425133689839573,7.5
Hentai,1295,,
Historical,1051,,
Horror,434,21.262672811059907,3.0
Josei,93,15.688172043010752,4.0
Kids,2458,,
Magic,1013,,
Martial Arts,367,,
Mecha,1060,,
Military,541,,3.0
Music,1863,,
Mystery,674,25.903560830860535,4.0
Parody,619,,
Police,239,,
Psychological,322,42.046583850931675,8.0
Romance,1762,22.738933030646994,4.0
Samurai,199,,
School,1567,20.175494575622206,3.0
Sci-Fi,2462,,
Seinen,805,,
Shoujo,668,,
Shoujo Ai,73,20.671232876712327,12.0
Shounen,1915,,
Shounen Ai,91,,4.0
Slice of Life,1744,,
Space,475,,
Sports,679,,
Super Power,600,18.698333333333334,
Supernatural,1358,22.911634756995582,3.0
Thriller,120,64.21666666666667,9.5
Vampire,135,24.11111111111111,6.0
Yaoi,40,,5.5
Yuri,40,,
